username,country,score,date_written,positive,negative,tags
Yolanda,España,9.0,Escrito en 8 de enero de 2026,Todo muy bien,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Facundo,Italia,8.0,Escrito en 7 de enero de 2026,"Todo bien, en orden y limpio.",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Santiago,España,9.0,Escrito en 4 de enero de 2026,El edificio y el entorno,Nada.aen especial,"['•Viaje de ocio', '•Grupo de amigos', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Sorkunde,España,9.0,Escrito en 3 de enero de 2026,"Camas muy cómodas. Edificio muy bonito, con una zona común donde se puede comer. Piscina.
Habitación cuádruple con baño ideal para familias.
Zona tranquila y cerca del centro.",Nos gustó todo.,"['•Viaje de ocio', '•Grupo de amigos', '•Habitación Cuádruple con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Cindy,España,8.0,Escrito en 3 de enero de 2026,La tranquilidad,El no acceso vehicular,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 3 noches', '•Enviado por móvil']"
Bona,Francia,10.0,Escrito en 29 de diciembre de 2025,"Lugar bonito, muy limpio, i buena atención del personal",,"['•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Eva,España,8.0,Escrito en 28 de diciembre de 2025,"La localización, cercano a plaza de Colon","La limpieza de las habitaciones, los colchones estaban manchados y había cabello en el suelo del baño y en el interior de las camas","['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Isabel,España,10.0,Escrito en 18 de diciembre de 2025,Todo estuvo muy bien,,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 3 noches', '•Enviado por móvil']"
Moreno,España,9.0,Escrito en 18 de diciembre de 2025,"Me gustó mucho , el patio el decorado, la comodidad , todo en general",,"['•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,10.0,Escrito en 16 de diciembre de 2025,Genial todo,"Nada, todo bien","['•Viaje de ocio', '•Grupo', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
