username,country,score,date_written,positive,negative,tags
Ana,España,9.0,Escrito en 23 de noviembre de 2025,"La ubicación excelente..el apartamento todo genial, muy limpio y camas comodas incluido el sofá cama(hemos dormido dos adultos sin problema). La atención por  telefóno tambien excelente y muy agradable y atentos.",El no tener taquillas,"['•Viaje de ocio', '•Grupo de amigos', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Idoia,España,9.0,Escrito en 31 de agosto de 2025,"La ubicación excelente pero a pesar de estar en pleno centro es tranquilo y genial para descansar . Las vistas desde la cama espectaculares . Mucha luz , amplio y bonita decoración.",Me gustó mucho pero por sacar una pega me hubiese gustado tener una cafetera Nespresso,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Dúplex', '•Estancia de 2 noches', '•Enviado por móvil']"
Evaristo,España,7.0,Escrito en 31 de mayo de 2025,Situación. Limpieza.,"Toda la burocracia informática. Insufrible la entrada. Y me han cargado dos veces el costo. 2X 148,72. Espero que me devuelvan una, aunque no confío nada en su diligencia en devolver. Si en cobrar.","['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Susana,España,8.0,Escrito en 4 de mayo de 2025,La ubicación era genial!,El sofá era muy incómodo,"['•Viaje de negocios', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Miguel,España,7.0,Escrito en 2 de mayo de 2025,"Muy bien ubicado, a pesar de estar en pleno centro no se oía ruido de la calle, era muy espacioso y cuidado el diseño","En la zona del dormitorio había un ruido continuo de maquinaria, algo molesto para dormir.","['•Viaje de ocio', '•Grupo', '•Estudio Dúplex', '•Estancia de 1 noche', '•Enviado por móvil']"
Javier,España,9.0,Escrito en 16 de marzo de 2025,"muy buena ubicación todo perfecto, volveré pronto",,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Aleksey,España,7.0,Escrito en 26 de diciembre de 2024,Las vistas desde el apartamento,"La puerta del baño no se cierra del todo, si viajas con amigos es un poco incomodo ya que se te ve por una raja y no puedes sentrate tranquilo sin saber que nadie te mirará o que no se escuche un pedo :D","['•Viaje de ocio', '•Grupo', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']"
Vicente,España,7.0,Escrito en 22 de diciembre de 2024,"Ubicación, limpieza, salón con sofá. Inmejorable",único pero cama ruidosa y gastada,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche']"
María,España,9.0,Escrito en 26 de noviembre de 2024,ubicación comodidad,horario de entrada tarde te parte el día y la comida,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Cristina,España,8.0,Escrito en 27 de octubre de 2024,"la ubicación y la decoración del apartamento,cama comoda! te dejan una cajita de bienvenida con agua,unas patatas y unos tapones,un detalle.",por las mañanas hay ruido desde temprano.,"['•Viaje de ocio', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Belén,España,8.0,Escrito en 28 de julio de 2024,"Ubicación excelente y muy bonito , con regalo de bienvenida y muy atentos con los animales tenía cama y comederos",Se escuchaba todo lo de fuera,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Paloma,España,7.0,Escrito en 21 de junio de 2024,La ubicación,El desayuno. Excesivamente caro para lo que es ...,"['•Viaje de negocios', '•Persona que viaja sola', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Manuel,España,9.0,Escrito en 31 de mayo de 2024,Excelente ubicación. El diseño .,,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Maria,España,7.0,Escrito en 14 de abril de 2024,La Ubicación.Es muy bonito,"La iluminación escasa, pocos productos de baño, sofá incómodo.","['•Viaje de negocios', '•Pareja', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Fidel,España,7.0,Escrito en 19 de marzo de 2024,La ubicación,"No hay nadie para recibir a los huéspedes, ningún teléfono de contacto, necesito mi factura y no hay un lugar donde reclamarla porque no hay comunicación con los clientes","['•Viaje de negocios', '•Persona que viaja sola', '•Apartamento de 1 dormitorio', '•Estancia de 4 noches', '•Enviado por móvil']"
José,España,7.0,Escrito en 8 de febrero de 2024,Emplazamiento y amplitud espacio y tamaño de cama,Falta de mobiliario y ruido poco aislamiento acústico entre habitaciones,"['•Viaje de negocios', '•Persona que viaja sola', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Pilar,España,8.0,Escrito en 26 de enero de 2024,"Me ha gustado mucho la estancia, muy agradable, estupenda ubicación y el apartamento precioso. El servicio de atención al público dia telefónica, estupendo.",Añadiría lamparitas de lectura a cada lado de la cama y tabla de planchar y plancha ;-) Por lo demás el apartamento es estupendo.,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 1 noche']"
Hind,España,9.0,Escrito en 14 de enero de 2024,Ubicación excelente. Limpio y cómodo.,Había pedido una cama doble y me dieron dos individuales,"['•Viaje de negocios', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Francisco,España,8.0,Escrito en 9 de enero de 2024,Muy bien buena ubicación,La ducha,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Jesús,España,7.0,Escrito en 4 de enero de 2024,La ubicación,"La atención y la falta de personal físico , cuando llegamos al apartamento después de mucho tiempo intentando acceder por internet, la recepción fue de un perro ladrando justo en la puerta de al lado , si hubiese sabido que aceptaban mascotas no hubiese ido","['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Carmen,España,8.0,Escrito en 2 de enero de 2024,La ubicación,Todo fue correcto,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
Norma,España,8.0,Escrito en 10 de diciembre de 2023,Ubicación inmejorable,Muy caro y la limpieza mejorable (habia comida de huespedes anteriores en la nevera). Es incomodo que el baño este en la planta de abajo y el dormitorio arriba. Fue muy caro,"['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio Dúplex', '•Estancia de 2 noches', '•Enviado por móvil']"
Francisco,España,9.0,Escrito en 10 de diciembre de 2023,"La ubicación, la amplitud y la limpieza de la habitación; es tal cual aparece en las fotos o incluso mejor. También el hecho de poder acceder con libertad sin necesidad de lidiar con personal.","Solicité cama doble por ocasión especial, pero no se me facilitó. La hora de salida a las 11 de la mañana la retrasaría un poco. Medio te obligan a contratar el late check out.","['•Viaje de ocio', '•Familia con niños pequeños', '•Estudio', '•Estancia de 1 noche', '•Enviado por móvil']"
Juan,España,9.0,Escrito en 7 de diciembre de 2023,"Ubicación, decoración, sistema de entrar con la aplicación, presión  y caudal agua caliente, camas cómodas, vistas….",El olor a desagüe del baño.,"['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 2 noches', '•Enviado por móvil']"
Lola,España,5.0,Escrito en 29 de julio de 2023,"Edificio bonito, muy céntrico, limpio y bien conservado","La televisión del apartamento no se corresponde con la que figura en las fotos, era una televisión pequeñita.
Una de las noches saltó la alarma y estuvo soñando ininterrumpidamente durante una hora.","['•Viaje de ocio', '•Pareja', '•Estudio', '•Estancia de 4 noches', '•Enviado por móvil']"
Ana,España,6.0,Escrito en 22 de julio de 2023,"La ubicación excepcional. Centro de Málaga, cerca de todo tipo de comercios y restaurantes",Control de los huéspedes. Tuvimos una piara de guiris poniendo música y metiendo gritos en el rellano desde las 5 de la mañana hasta las 8.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Apartamento de 1 dormitorio', '•Estancia de 1 noche', '•Enviado por móvil']"
