Algoritmo,Modelo,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,GridSearch,0.7286353197147347,0.44275067750677505,0.6853696906135291,0.5379707758798107,0.7675123282922961
Random Forest,Baseline,0.7269430678109513,0.4406207827260459,0.6848453067645517,0.5362348593717923,0.7628866548346692
Random Forest,SMOTE + GridSearch,0.7436238365768162,0.45968349660889224,0.6397482957524908,0.5349704012278009,0.7625210029487738
Random Forest,SMOTE,0.7366130786897135,0.45072463768115945,0.6523335081279497,0.5331047782301265,0.7607069939757637
Support Vector Machine,SMOTE,0.7187235585640034,0.427536231884058,0.6497115888830624,0.5157127991675338,0.7427388570079544
Support Vector Machine,SMOTE + GridSearch,0.7187235585640034,0.427536231884058,0.6497115888830624,0.5157127991675338,0.7427388570079544
Support Vector Machine,GridSearch,0.7471292155203675,0.46028338342636327,0.562139486103828,0.506137865911237,0.7374255372463274
Logistic Regression,SMOTE,0.6752085096095733,0.38576449912126537,0.6906135291033036,0.4950197331328698,0.7334195527135916
Logistic Regression,SMOTE + GridSearch,0.678109512873202,0.3874329958308517,0.6822233875196644,0.4942070275403609,0.7324269631157001
Logistic Regression,GridSearch,0.673999758249728,0.3850407450523865,0.6937598321971683,0.4952274003368894,0.7323246563704235
Logistic Regression,Baseline,0.6744832587936661,0.3853558926487748,0.6927110644992134,0.4952202436738519,0.7322977205365223
Support Vector Machine,Baseline,0.734679076513961,0.4410801963993453,0.5652857891976927,0.495518271661687,0.7307907141719225
Naive Bayes,Baseline,0.6879003988879487,0.38850346878097125,0.616675406397483,0.47669233887312523,0.7091632164911225
Naive Bayes,GridSearch,0.7624803577904025,0.4779299847792998,0.32931305715783954,0.389941012108041,0.7091632164911225
Naive Bayes,SMOTE + GridSearch,0.6680768765864862,0.3739104298166516,0.6523335081279497,0.4753534581581964,0.7048598257556326
Naive Bayes,SMOTE,0.6680768765864862,0.3739104298166516,0.6523335081279497,0.4753534581581964,0.7048543891653039
Decision Tree,GridSearch,0.7339538256980539,0.42744323790720634,0.454116413214473,0.4403763030765319,0.6575810533838573
Decision Tree,SMOTE,0.7141303033965913,0.40345699831365933,0.5018353434714211,0.4473007712082262,0.6403230504345895
Decision Tree,SMOTE + GridSearch,0.7086909222772876,0.3974724826742764,0.5112742527530152,0.44724770642201833,0.6399672008858018
