checkin_time,lead_time,lenght_of_stay,checkin_month,checkin_day,adult_count,child_count,origin,requested_category,asset,asset_type,business_segment,rate_type,returning_inhabitant,recurrence,libere_community,reservation_net_value,zona_roja_mes,Estacion_Estancia,Estacion_Reserva,estancia_en_festivo,estancia_en_finde,City,mes_checkin_numerico,reservation_checkin_month_diff,Reserva_Dia_Semana,status,fecha,indicativo,nombre,provincia,altitud,tmed,prec,tmin,horatmin,tmax,horatmax,dir,velmedia,racha,horaracha,hrMedia,hrMax,horaHrMax,hrMin,horaHrMin,ciudad,codigo_ccaa
2023-01-01 12:00:00,36,1,January,Sunday,1,0,channel_manager,Hostel bed,Koisi Hostel,hostel,Leisure Individual,Non Refundable,yes,4,no,15.92,0,Winter,Autumn,0,1,Donosti,1,2,Saturday,checked_out,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 13:09:00,11,9,January,Sunday,1,0,channel_manager,Hostel bed,Koisi Hostel,hostel,Leisure Individual,Non Refundable,yes,2,yes,117.78,0,Winter,Winter,1,1,Donosti,1,1,Wednesday,checked_out,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,102,6,January,Sunday,2,4,channel_manager,Hostel room,Koisi Hostel,hostel,Leisure Individual,Flexible,no,1,no,755.65,0,Winter,Autumn,1,1,Donosti,1,4,Wednesday,checked_out,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,99,1,January,Sunday,2,2,channel_manager,Hostel room,Koisi Hostel,hostel,Leisure Individual,Flexible,no,1,no,186.37,1,Winter,Autumn,0,1,Donosti,1,4,Saturday,checked_out,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,75,1,January,Sunday,4,0,channel_manager,Hostel room,Koisi Hostel,hostel,Leisure Individual,Non Refundable,no,1,no,77.02,1,Winter,Autumn,0,1,Donosti,1,3,Tuesday,checked_out,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,37,1,January,Sunday,2,1,channel_manager,Hostel room,Koisi Hostel,hostel,Leisure Individual,Flexible,no,1,no,74.4,0,Winter,Autumn,0,1,Donosti,1,2,Friday,cancelled,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,36,2,January,Sunday,3,0,channel_manager,Hostel room,Koisi Hostel,hostel,Leisure Individual,Flexible,no,1,no,57.55,1,Winter,Autumn,0,1,Donosti,1,2,Saturday,cancelled,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,30,1,January,Sunday,2,2,channel_manager,Hostel room,Koisi Hostel,hostel,Leisure Individual,Non Refundable,no,1,no,86.98,0,Winter,Winter,0,1,Donosti,1,1,Friday,checked_out,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,28,2,January,Sunday,1,0,channel_manager,Hostel bed,Koisi Hostel,hostel,Leisure Individual,Non Refundable,no,1,no,27.69,0,Winter,Winter,0,1,Donosti,1,1,Sunday,checked_out,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
2023-01-01 15:00:00,21,7,January,Sunday,2,0,channel_manager,Hostel room,Koisi Hostel,hostel,Leisure Individual,Flexible,no,1,no,37.61,1,Winter,Winter,1,1,Donosti,1,1,Sunday,cancelled,2023-01-01,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,250,"16,9","2,0","12,4",23:59,"21,4",12:30,18.0,"9,2","21,1",14:00,30.0,98.0,23:59,27.0,Varias,Donosti,ES-PV
