Palabra,Frecuencia
cama,38
sofá,29
barrio,17
zona,15
ubicación,15
apartamento,12
personas,8
centro,8
toallas,8
calle,8
limpieza,8
noche,8
incómodo,8
cocina,7
piso,6
acondicionado,6
aire,6
días,6
aunque,6
si,6
creo,6
aparcar,6
además,6
peor,5
bien,5
problema,5
dejaron,5
incomodo,5
mal,4
dormir,4
buena,4
dos,4
mascota,4
cerca,4
utensilios,4
sofa,4
colchón,4
espacio,4
estancia,4
ningún,4
personal,3
baño,3
pequeño,3
salida,3
perro,3
imposible,3
lado,3
calles,3
gusto,3
entrar,3
café,3
resto,3
tampoco,3
ambiente,3
peligrosa,3
funcionaba,3
muchas,3
moscas,3
pésima,3
mucha,3
tener,3
marginal,3
seguro,3
solo,3
nunca,3
día,3
sartenes,3
hora,3
habia,3
abajo,3
suficientes,3
ropa,3
hacia,3
estudio,2
ser,2
tarde,2
minutos,2
hecho,2
ocasiones,2
acceso,2
mala,2
horrible,2
parte,2
tender,2
vecinos,2
sale,2
veces,2
varias,2
comer,2
cambiaron,2
grupo,2
bilbao,2
hotel,2
escoba,2
llegaba,2
incomoda,2
queda,2
puerta,2
toda,2
eramos,2
aparcamiento,2
cosas,2
bienvenida,2
capsulas,2
hacer,2
después,2
hicieron,2
habitaciones,2
gustó,2
tambien,2
complicado,2
cliente,2
llegar,2
interior,2
ello,2
sucias,2
dicen,2
sucio,2
escaleras,2
usar,2
derecha,2
defectos,2
mesa,2
deberían,2
q,2
cómodo,2
ahí,2
policía,2
i,2
pagar,2
ducha,2
alcachofa,2
pisos,2
ruido,2
gente,2
parking,2
justo,2
puede,2
incomodísimo,2
allí,2
noches,2
colchones,2
difícil,2
demasiado,2
sofacama,2
entrada,2
peligroso,2
pequeñas,2
fino,2
problemas,2
reserva,2
papel,2
higiénico,2
demás,2
cuidado,2
persona,2
veía,1
experiencia,1
volvería,1
smart,1
tv,1
cuesta,1
ascensor,1
quedaba,1
set,1
apartamentos,1
avisan,1
fotos,1
viene,1
ubicada,1
aconseja,1
ir,1
vencido,1
correo,1
electrónico,1
través,1
atras,1
ningun,1
bares,1
dedicados,1
prostitucion,1
dejadas,1
blandito,1
tumbabas,1
tocabas,1
fondo,1
invierno,1
necesitaba,1
limpio,1
pagada,1
comprobarlo,1
parecía,1
mantas,1
pesar,1
percance,1
embargo,1
duda,1
concretamente,1
educación,1
respeto,1
sintiéndonos,1
violentos,1
irnos,1
primera,1
recibimos,1
mediante,1
compra,1
pedimos,1
arreglaran,1
calefaccion,1
vino,1
nadie,1
ubicacion,1
limite,1
xungo,1
ibas,1
algún,1
vaso,1
pura,1
varios,1
criptomonedas,1
recepcionista,1
puse,1
contacto,1
propietario,1
soluciono,1
asi,1
perfecto,1
decir,1
incomodi,1
marmara,1
deterioradas,1
raro,1
roto,1
relleno,1
booking,1
pedía,1
despliegas,1
escobas,1
barrer,1
trapear,1
estacia,1
excelente,1
comodidad,1
época,1
hacía,1
costaba,1
conciliar,1
bebé,1
años,1
ensuciaban,1
tazas,1
falto,1
sumo,1
niño,1
servicio,1
admisión,1
problemático,1
precio,1
excesivo,1
pagan,1
ofrece,1
reducido,1
cómodos,1
cercana,1
pinta,1
pillaron,1
calor,1
agradado,1
todas,1
minúsculo,1
mínimo,1
supletoria,1
sueño,1
sonidos,1
escuchaban,1
perfección,1
portazos,1
faltó,1
contar,1
recogedor,1
rompiese,1
situacion,1
conflictiva,1
lás,1
escasez,1
cucaracha,1
habitación,1
pareció,1
incómoda,1
echamos,1
menos,1
trapos,1
ver,1
