Algoritmo,Modelo,Accuracy,Precision,Recall,F1-score,ROC-AUC
Random Forest,GridSearch,0.7843097091356002,0.5226468506723284,0.6611459265890779,0.583794466403162,0.8080671049017895
Random Forest,Baseline,0.7864604670217125,0.5271402550091074,0.6477170993733214,0.581241213094999,0.8050693079665818
Random Forest,SMOTE + GridSearch,0.7735559197050389,0.5038295038295039,0.6772605192479857,0.57781172426962,0.8010080834525224
Random Forest,SMOTE,0.7802130274477673,0.5154929577464789,0.6553267681289168,0.5770595191170674,0.79953991851157
Support Vector Machine,GridSearch,0.7642359688652192,0.48756400877834677,0.5966875559534467,0.5366344605475041,0.7726664811954806
Support Vector Machine,Baseline,0.7578861122490782,0.47712878254750174,0.6069829901521934,0.5342789598108747,0.771157684986702
Logistic Regression,GridSearch,0.7360712822613683,0.44832780958119917,0.666069829901522,0.5359265262020529,0.7681734417150854
Logistic Regression,Baseline,0.7431380581728799,0.4567550505050505,0.6477170993733214,0.5357275083302481,0.7673925604653901
Support Vector Machine,SMOTE,0.7321794346579271,0.442775608290778,0.6598030438675022,0.5299298939421175,0.7673008948984723
Support Vector Machine,SMOTE + GridSearch,0.7321794346579271,0.442775608290778,0.6598030438675022,0.5299298939421175,0.7673008948984723
Logistic Regression,SMOTE + GridSearch,0.6903932814420319,0.38927869772663487,0.6208594449418084,0.4785233741590478,0.7198903579950566
Logistic Regression,SMOTE,0.6828144203195412,0.38340988921912994,0.635183527305282,0.47818028643639426,0.7196286177284297
Decision Tree,GridSearch,0.7109791069233921,0.41368173810921904,0.6307072515666965,0.499645390070922,0.7121220281511971
Naive Bayes,Baseline,0.696128635804998,0.3571150097465887,0.41002685765443153,0.38174619712440094,0.6722869191690416
Naive Bayes,GridSearch,0.7072920934043425,0.3511450381679389,0.3294538943598926,0.33995381062355656,0.6722794587094773
Naive Bayes,SMOTE,0.6846579270790659,0.34299516908212563,0.41316025067144135,0.3748223350253807,0.6608044693800149
Naive Bayes,SMOTE + GridSearch,0.6846579270790659,0.34299516908212563,0.41316025067144135,0.3748223350253807,0.6608044693800149
Decision Tree,SMOTE,0.7398607128226137,0.4378048780487805,0.482094897045658,0.4588836812952706,0.6495996021880844
Decision Tree,SMOTE + GridSearch,0.7378123719786972,0.4348,0.4865711727842435,0.4592310942120828,0.6492335641022898
